Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-08-19 16:42:28 +0530,"Failure",0:00:00,1,0,0,"20200819_164228.854/LogFile.txt","","SenseTalk Compiler Exception -- in rca_sched_scalability_datacreation:\nSyntax Error at line 13: Syntax Error - can't understand [end of script] at character 1",0
2020-08-19 16:42:53 +0530,"Failure",0:00:00,1,0,0,"20200819_164253.829/LogFile.txt","","SenseTalk Compiler Exception -- in rca_sched_scalability_datacreation:\nSyntax Error at line 13: Syntax Error - can't understand [end of script] at character 1",0
2020-08-19 16:44:06 +0530,"Failure",0:00:00,1,0,0,"20200819_164406.396/LogFile.txt","","SenseTalk Compiler Exception -- in rca_sched_scalability_datacreation:\nSyntax Error at line 13: Syntax Error - can't understand [end of script] at character 1",0
2020-08-19 16:44:30 +0530,"Failure",0:00:00,1,0,0,"20200819_164430.579/LogFile.txt","","SenseTalk Compiler Exception -- in rca_sched_scalability_datacreation:\nSyntax Error at line 13: Syntax Error - can't understand [end of script] at character 1",0
2020-08-19 16:47:13 +0530,"Success",0:00:00,0,0,0,"20200819_164713.394/LogFile.txt","","",1
2020-08-19 16:48:06 +0530,"Success",0:00:01,0,0,0,"20200819_164806.579/LogFile.txt","","",1
2020-08-19 16:48:35 +0530,"Success",0:00:01,0,0,0,"20200819_164835.876/LogFile.txt","","",1
2020-08-19 16:50:31 +0530,"Success",0:00:00,0,0,0,"20200819_165031.299/LogFile.txt","","",1
2020-08-19 16:51:45 +0530,"Success",0:00:01,0,0,0,"20200819_165145.026/LogFile.txt","","",1
2020-08-19 16:54:04 +0530,"Success",0:00:01,0,0,0,"20200819_165404.577/LogFile.txt","","",1
2020-08-19 16:58:35 +0530,"Success",0:00:01,0,0,0,"20200819_165835.850/LogFile.txt","","",1
2020-08-19 17:15:51 +0530,"Success",0:00:01,0,0,0,"20200819_171551.310/LogFile.txt","","",1
2020-08-19 17:19:29 +0530,"Success",0:00:01,0,0,0,"20200819_171929.407/LogFile.txt","","",1
2020-08-19 17:43:08 +0530,"Success",0:00:02,0,0,0,"20200819_174308.827/LogFile.txt","","",1
2020-08-19 17:46:11 +0530,"Success",0:00:02,0,0,0,"20200819_174611.671/LogFile.txt","","",1
2020-08-19 17:47:48 +0530,"Success",0:00:02,0,0,0,"20200819_174748.997/LogFile.txt","","",1
2020-08-19 17:49:00 +0530,"Success",0:00:02,0,0,0,"20200819_174900.940/LogFile.txt","","",1
2020-08-19 18:30:28 +0530,"Success",0:00:02,0,0,0,"20200819_183028.618/LogFile.txt","","",1
2020-08-20 08:22:57 +0530,"Success",0:00:03,0,0,0,"20200820_082257.161/LogFile.txt","","",1
2020-08-20 08:23:53 +0530,"Success",0:00:02,0,0,0,"20200820_082353.034/LogFile.txt","","",1
2020-08-20 08:26:50 +0530,"Success",0:00:03,0,0,0,"20200820_082650.404/LogFile.txt","","",1
2020-08-20 08:28:43 +0530,"Success",0:00:03,0,0,0,"20200820_082843.651/LogFile.txt","","",1
2020-08-20 08:32:42 +0530,"Failure",0:00:01,1,0,0,"20200820_083242.398/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'location'",0
2020-08-20 08:33:34 +0530,"Success",0:00:03,0,0,0,"20200820_083334.919/LogFile.txt","","",1
2020-08-20 08:34:36 +0530,"Success",0:00:03,0,0,0,"20200820_083436.959/LogFile.txt","","",1
2020-08-20 08:35:26 +0530,"Success",0:00:03,0,0,0,"20200820_083526.972/LogFile.txt","","",1
2020-08-20 08:36:46 +0530,"Failure",0:00:02,1,0,0,"20200820_083646.766/LogFile.txt","","InvalidCommandOrRange -- Not a valid command, or incorrect types given for a range (not numbers, date/times, or characters)",0
2020-08-20 08:37:26 +0530,"Success",0:00:02,0,0,0,"20200820_083726.425/LogFile.txt","","",1
2020-08-20 08:38:30 +0530,"Success",0:00:03,0,0,0,"20200820_083830.905/LogFile.txt","","",1
2020-08-20 08:40:10 +0530,"Success",0:00:02,0,0,0,"20200820_084010.452/LogFile.txt","","",1
2020-08-20 08:43:53 +0530,"Failure",0:00:02,1,0,0,"20200820_084353.867/LogFile.txt","","Invalid Property -- Cannot set global property 'KEYS'",0
2020-08-20 08:46:26 +0530,"Success",0:00:02,0,0,0,"20200820_084626.056/LogFile.txt","","",1
2020-08-20 08:47:35 +0530,"Success",0:00:02,0,0,0,"20200820_084735.900/LogFile.txt","","",1
2020-08-20 08:50:57 +0530,"Success",0:00:02,0,0,0,"20200820_085057.319/LogFile.txt","","",1
2020-08-20 08:51:33 +0530,"Success",0:00:02,0,0,0,"20200820_085133.964/LogFile.txt","","",1
2020-08-20 08:54:04 +0530,"Success",0:00:03,0,0,0,"20200820_085404.429/LogFile.txt","","",1
2020-08-20 08:55:07 +0530,"Success",0:00:02,0,0,0,"20200820_085507.041/LogFile.txt","","",1
2020-08-20 08:55:35 +0530,"Success",0:00:03,0,0,0,"20200820_085535.475/LogFile.txt","","",1
2020-08-20 08:57:26 +0530,"Success",0:00:02,0,0,0,"20200820_085726.705/LogFile.txt","","",1
2020-08-20 09:00:16 +0530,"Success",0:00:04,0,0,0,"20200820_090016.494/LogFile.txt","","",1
2020-08-20 09:00:58 +0530,"Success",0:00:03,0,0,0,"20200820_090058.412/LogFile.txt","","",1
